Country,Element,Item,Year,Unit,Value
Spain,Production,Peas,2004,1000 tonnes,201
Spain,Production,Peas,2005,1000 tonnes,133
Spain,Production,Peas,2006,1000 tonnes,190
Spain,Production,Peas,2007,1000 tonnes,160
Spain,Production,Peas,2008,1000 tonnes,138
Spain,Production,Peas,2009,1000 tonnes,148
Spain,Production,Peas,2010,1000 tonnes,252
Spain,Production,Peas,2011,1000 tonnes,253
Spain,Production,Peas,2012,1000 tonnes,121
Spain,Production,Peas,2013,1000 tonnes,201
Spain,Production,"Pulses, Other and products",2000,1000 tonnes,317
Spain,Production,"Pulses, Other and products",2001,1000 tonnes,243
Spain,Production,"Pulses, Other and products",2002,1000 tonnes,376
Spain,Production,"Pulses, Other and products",2003,1000 tonnes,359
Spain,Production,"Pulses, Other and products",2004,1000 tonnes,379
Spain,Production,"Pulses, Other and products",2005,1000 tonnes,138
Spain,Production,"Pulses, Other and products",2006,1000 tonnes,143
Spain,Production,"Pulses, Other and products",2007,1000 tonnes,134
Spain,Production,"Pulses, Other and products",2008,1000 tonnes,99
Spain,Production,"Pulses, Other and products",2009,1000 tonnes,125
Spain,Production,"Pulses, Other and products",2010,1000 tonnes,180
Spain,Production,"Pulses, Other and products",2011,1000 tonnes,184
Spain,Production,"Pulses, Other and products",2012,1000 tonnes,166
Spain,Production,"Pulses, Other and products",2013,1000 tonnes,221
Spain,Production,Soyabeans,2000,1000 tonnes,7
Spain,Production,Soyabeans,2001,1000 tonnes,7
Spain,Production,Soyabeans,2002,1000 tonnes,2
Spain,Production,Soyabeans,2003,1000 tonnes,1
Spain,Production,Soyabeans,2004,1000 tonnes,0
Spain,Production,Soyabeans,2005,1000 tonnes,3
Spain,Production,Soyabeans,2006,1000 tonnes,2
Spain,Production,Soyabeans,2007,1000 tonnes,1
Spain,Production,Soyabeans,2008,1000 tonnes,1
Spain,Production,Soyabeans,2009,1000 tonnes,3
Spain,Production,Soyabeans,2010,1000 tonnes,2
Spain,Production,Soyabeans,2011,1000 tonnes,2
Spain,Production,Soyabeans,2012,1000 tonnes,1
Spain,Production,Soyabeans,2013,1000 tonnes,1
Spain,Production,Bovine Meat,2000,1000 tonnes,651
Spain,Production,Bovine Meat,2001,1000 tonnes,651
Spain,Production,Bovine Meat,2002,1000 tonnes,679
Spain,Production,Bovine Meat,2003,1000 tonnes,706
Spain,Production,Bovine Meat,2004,1000 tonnes,714
Spain,Production,Bovine Meat,2005,1000 tonnes,715
Spain,Production,Bovine Meat,2006,1000 tonnes,670
Spain,Production,Bovine Meat,2007,1000 tonnes,620
Spain,Production,Bovine Meat,2008,1000 tonnes,658
Spain,Production,Bovine Meat,2009,1000 tonnes,598
Spain,Production,Bovine Meat,2010,1000 tonnes,607
Spain,Production,Bovine Meat,2011,1000 tonnes,604
Spain,Production,Bovine Meat,2012,1000 tonnes,591
Spain,Production,Bovine Meat,2013,1000 tonnes,581
Spain,Production,Mutton & Goat Meat,2000,1000 tonnes,249
Spain,Production,Mutton & Goat Meat,2001,1000 tonnes,251
Spain,Production,Mutton & Goat Meat,2002,1000 tonnes,252
Spain,Production,Mutton & Goat Meat,2003,1000 tonnes,250
Spain,Production,Mutton & Goat Meat,2004,1000 tonnes,245
Spain,Production,Mutton & Goat Meat,2005,1000 tonnes,238
Spain,Production,Mutton & Goat Meat,2006,1000 tonnes,226
Spain,Production,Mutton & Goat Meat,2007,1000 tonnes,214
Spain,Production,Mutton & Goat Meat,2008,1000 tonnes,166
Spain,Production,Mutton & Goat Meat,2009,1000 tonnes,133
Spain,Production,Mutton & Goat Meat,2010,1000 tonnes,142
Spain,Production,Mutton & Goat Meat,2011,1000 tonnes,142
Spain,Production,Mutton & Goat Meat,2012,1000 tonnes,132
Spain,Production,Mutton & Goat Meat,2013,1000 tonnes,127
Spain,Production,Pigmeat,2000,1000 tonnes,2905
Spain,Production,Pigmeat,2001,1000 tonnes,2989
